0,0,0.0
1,3273,0.0
2,3522,0.0
3,7139,0.0
4,7425,0.0
5,7674,0.0
6,15542,0.0
7,15797,0.0
8,17091,0.0
0,17355,0.0
1,20346,0.0
2,20594,0.0
3,24849,0.0
4,25101,0.0
5,26341,0.0
6,26590,0.0
7,29053,0.0
8,29299,0.0
0,32950,0.0
1,33194,0.0
2,37447,0.0
3,37716,0.0
4,41338,0.0
5,41592,0.0
6,41848,0.0
7,42106,0.0
8,42355,0.0
0,50361,0.0
1,50614,0.0
2,50860,0.0
3,51111,0.0
4,51383,0.0
5,51633,0.0
6,51884,0.0
7,52134,0.0
8,54545,0.0
0,54803,0.0
1,55057,0.0
2,55305,0.0
3,58443,0.0
4,58690,0.0
5,62941,0.0
6,63195,0.0
7,71645,0.0
8,71898,0.0
0,79155,0.0
1,79410,0.0
2,80046,0.0
3,80294,0.0
4,84550,0.0
5,84802,0.0
6,86649,787.41
7,86898,543.636
8,88752,673.11
0,89006,725.328
1,89262,41.562
2,89516,41.562
3,89795,877.194
4,90041,928.4940000000001
5,93254,819.45
6,93516,795.3480000000001
7,93766,540.306
8,94023,706.464
0,94288,744.462
1,94537,41.562
2,94792,41.562
3,95054,889.866
4,95302,950.364
5,95550,827.568
6,97450,819.45
7,97705,540.306
8,101953,748.3140000000001
0,102218,771.642
1,102473,41.562
2,102722,41.562
3,110662,924.156
4,110908,981.5219999999999
5,121154,860.4720000000001
6,121399,848.052
7,122056,540.306
8,122302,759.924
0,124164,787.41
1,124414,41.562
2,125062,41.562
3,125306,928.4940000000001
4,127769,995.0579999999999
5,128022,864.6300000000001
6,128273,852.174
7,128529,540.306
8,129253,759.924
0,129510,787.41
1,131982,41.562
2,132230,41.562
3,136461,906.9119999999999
4,136713,963.648
5,136977,843.9300000000001
6,137240,815.4
7,137500,540.306
8,137745,740.61
0,140366,775.566
1,140618,41.562
2,140869,41.562
3,141122,911.196
4,144865,968.094
5,145114,848.052
6,149370,831.636
7,149639,540.306
8,150303,748.3140000000001
0,150563,779.508
1,153565,41.562
2,153821,41.562
3,158069,919.818
4,158326,972.5579999999999
5,162588,856.3140000000001
6,162838,835.7220000000001
7,163089,540.306
8,163360,752.166
0,166490,783.45
1,166737,41.562
2,170973,41.562
3,171226,919.818
4,171865,981.5219999999999
5,172111,856.3140000000001
6,172765,839.826
7,173009,540.306
8,174877,752.166
0,175140,783.45
1,179370,41.562
2,179621,41.562
3,183902,919.818
4,184153,977.04
5,187780,856.3140000000001
6,188033,839.826
7,188293,540.306
8,188554,752.166
0,192284,767.736
1,192533,41.562
2,192781,41.562
3,196449,898.362
4,196701,959.202
5,196946,839.826
6,200669,819.45
7,200925,540.306
8,201590,725.328
0,201860,767.736
1,203674,41.562
2,203917,41.562
3,205178,911.196
4,205428,959.202
5,213873,898.362
6,214121,945.972
7,214365,540.306
8,214622,815.4
0,215990,885.636
1,216238,41.562
2,216875,41.562
3,217121,1050.3899999999999
4,217773,1083.582
5,218021,941.58
6,221080,1078.794
7,221324,540.306
8,222595,919.818
0,222860,995.0579999999999
1,224678,41.562
2,224933,41.562
3,225182,1192.392
4,227673,1233.7920000000001
5,227920,1088.37
6,228166,1270.836
7,233678,540.306
8,233934,1177.1280000000002
0,235190,1352.988
1,235456,41.562
2,239686,41.562
3,239932,1710.972
4,252586,2288.052
5,252841,1881.144
6,253495,3016.3140000000003
7,253745,540.306
8,256781,2342.394
0,257033,2933.01
1,257681,41.562
2,257935,41.562
3,258189,3191.31
4,261029,3089.8979999999997
5,261273,2416.9500000000003
6,269689,6345.8640000000005
7,269938,540.306
8,278393,5658.93
0,278657,8062.0199999999995
1,282292,41.562
2,282542,41.562
